"STATION_NAME_FULL","STATION_NAME","EMS_ID","SERIAL","ADDRESS","CITY","LAT","LONG","ELEVATION","STATUS_DESCRIPTION","OWNER","REGION","STATUS","OPENED","CLOSED","NAPS_ID"
"Farmington Community Hall Met_15","Farmington Community Hall","E295892",538,"4794 Parkland Road","Farmington",55.9132326,-120.53157,696,"OPERATIONAL","INDUSTRY","07 - Omineca-Peace","ON",2017-12-06 16:36:56,NA,104304
"Farmington Community Hall Met_60","Farmington Community Hall","E295892",464,"4794 Parkland Road","Farmington",55.9132326,-120.53157,696,"OPERATIONAL","INDUSTRY","07 - Omineca-Peace","ON",2017-12-05 00:00:00,NA,104304
"Farmington MAML","Farmington MAML","E283242",275,"Farm yard off Hwy 97","Farmington",55.904722,-120.51583,686,"MOBILE NON OPERATIONAL","ENV","07 - Omineca-Peace","OFF",2010-08-13 00:00:00,NA,10
"Fort Nelson Brucker Ranch","Fort Nelson Brucker Ranch","E239298",396,"Blcok A of District Lot 1676","Fort Nelson",58.5778,-122.5894,518,"NON OPERATIONAL","INDUSTRY","07 - Omineca-Peace","OFF",1999-10-27 00:00:00,NA,10
"Fort Nelson Chalo School_1","Fort Nelson Chalo School","E250350",48,"Chalo Road (First Nations Reserve)","Fort Nelson",58.748,-122.6622,380,"NON OPERATIONAL","INDUSTRY","07 - Omineca-Peace","OFF",2002-12-30 00:00:00,NA,10
"Fort Nelson Chalo School_15","Fort Nelson Chalo School","E250350",49,"Chalo Road (First Nations Reserve)","Fort Nelson",58.748,-122.6622,380,"NON OPERATIONAL","INDUSTRY","07 - Omineca-Peace","OFF",2002-12-30 00:00:00,NA,10
"Fort Nelson Chalo School_60","Fort Nelson Chalo School","E250350",50,"Chalo Road (First Nation reserve)","Fort Nelson",58.748,-122.6622,380,"NON OPERATIONAL","INDUSTRY","07 - Omineca-Peace","OFF",2002-12-30 00:00:00,NA,10
"Fort Nelson Jackfish","Fort Nelson Jackfish","0770706",398,"Jackfish Creek","Fort Nelson",58.5883,-122.6644,468,"NON OPERATIONAL","INDUSTRY","07 - Omineca-Peace","OFF",1993-01-04 00:00:00,NA,10
"Fort Nelson Muskawa Industrial Area","Fort Nelson Muskawa Industrial Area","0770704",397,"Muskawa Industrial Area","Fort Nelson",58.7419,-122.6808,371,"NON OPERATIONAL","INDUSTRY","07 - Omineca-Peace","OFF",1993-01-04 00:00:00,NA,10
"Fort Nelson Townsite","Fort Nelson Townsite","0770705",399,"Village Site","Fort Nelson",58.8103,-122.7042,408,"NON OPERATIONAL","INDUSTRY","07 - Omineca-Peace","OFF",1993-01-04 00:00:00,NA,10
"Fort St John 85th Avenue_1","Fort St John 85th Avenue","E304550",488,"in flat industrial part of south FSJ","Fort St John",56.231792,-120.853895,685,"BC HYDRO","INDUSTRY-BCH","07 - Omineca-Peace","ON",2015-11-04 12:19:02,NA,10
"Fort St John 85th Avenue_60","Fort St John 85th Avenue","E304550",489,"in flat industrial part of south FSJ","Fort St John",56.231792,-120.853895,685,"BC HYDRO","INDUSTRY-BCH","07 - Omineca-Peace","ON",2015-11-04 12:24:25,NA,10
"Fort St John Hospital","Fort St John Hospital","FSJ OGC CAMEL",505,"at 79 Street & 112 Avenue","Fort St John",56.257717,-120.809353,0,"BC OGC MOBILE","BC OGC","07 - Omineca-Peace","OFF",2014-01-22 00:00:00,2014-04-01,10
"Fort St John Key Learning Centre","Fort St John Key Learning Centre","E299830",469,"10511 99 Avenue","Fort St John",56.244722,-120.856111,679,"OPERATIONAL","ENV","07 - Omineca-Peace","ON",2015-02-12 00:00:00,NA,105504
"Fort St John North Camp B_Amb_1","Fort St John North Camp B_Amb","E306480",515,"Worker's Camp at Site C","Fort St John",56.200998,-120.9026,581,"BC HYDRO","INDUSTRY-BCH","07 - Omineca-Peace","OFF",2016-07-07 00:00:00,NA,10
"Fort St John North Camp B_Amb_60","Fort St John North Camp B_Amb","E306480",516,"Worker's Camp at Site C","Fort St John",56.200998,-120.9026,581,"BC HYDRO","INDUSTRY-BCH","07 - Omineca-Peace","OFF",2016-07-07 00:00:00,NA,10
"Fort St John North Camp C_1","Fort St John North Camp C","E309527",534,"Worker's Camp at Site C","Fort St John",56.2032887,-120.90108,584,"BC HYDRO","INDUSTRY-BCH","07 - Omineca-Peace","ON",2017-08-23 11:35:58,NA,10
"Fort St John North Camp C_60","Fort St John North Camp C","E309527",533,"Worker's Camp at Site C","Fort St John",56.2032887,-120.90108,584,"BC HYDRO","INDUSTRY-BCH","07 - Omineca-Peace","ON",2017-08-23 09:43:40,NA,10
"Fort St John North Camp C_Met_60","Fort St John North Camp C","E309527",517,"Worker's Camp at Site C","Fort St John",56.200998,-120.9026,581,"BC HYDRO","INDUSTRY-BCH","07 - Omineca-Peace","ON",2016-07-07 00:00:00,NA,10
"Fort St John NP Cultural Centre","Fort St John NP Cultural Centre","E243516",52,"10015 100th Avenue","Fort St John",56.2458,-120.8489,695,"NON OPERATIONAL","ENV","07 - Omineca-Peace","OFF",2001-03-08 00:00:00,NA,105501
"Fort St John Old Fort_1","Fort St John Old Fort","E304470",486,"8880 Old Fort Loop","Fort St John",56.200587,-120.825713,421,"BC HYDRO","INDUSTRY-BCH","07 - Omineca-Peace","ON",2015-10-30 13:04:39,NA,10
"Fort St John Old Fort_60","Fort St John Old Fort","E304470",487,"8880 Old Fort Loop","Fort St John",56.200587,-120.825713,421,"BC HYDRO","INDUSTRY-BCH","07 - Omineca-Peace","ON",2015-10-30 15:01:39,NA,10
"Fraser Lake Endako Mines_15","Fraser Lake Endako Mines","E295949",451,"Endako Mines","Fraser Lake",54.034444,-125.095833,1005,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",2013-12-01 00:00:00,NA,10
"Fraser Lake Endako Mines_60","Fraser Lake Endako Mines","E295949",452,"Endako Mines","Fraser Lake",54.034444,-125.095833,1005,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",2013-12-01 00:00:00,NA,10
"Genelle","Genelle","E222140",355,"Medengo Drive and 2nd Street","Trail",49.2075,-117.6969,440,"NON OPERATIONAL","INDUSTRY","04 - Kootenay","OFF",1995-09-14 00:00:00,NA,10
"Gibsons Firehall","Gibsons Firehall","E217061",318,"Firehall Roof","Gibsons",49.4117,-123.5131,0,"NON OPERATIONAL","INDUSTRY","02 - Lower Mainland","OFF",1992-05-05 00:00:00,NA,10
"Gibsons Municipal Hall","Gibsons Municipal Hall","E308306",529,"474 South Fletcher Road","Gibsons",49.40054,-123.50913,30,"OPERATIONAL","ENV","02 - Lower Mainland","ON",2017-04-06 00:00:00,NA,10
"Gibsons Townhall","Gibsons Townhall","E217062",319,"Townhall Roof","Gibsons",49.4003,-123.5094,0,"NON OPERATIONAL","INDUSTRY","02 - Lower Mainland","OFF",2010-10-15 00:00:00,NA,10
"Glendale Met_15","Glendale","M111068",53,"4100 N McKenzie","Williams Lake",52.1522,-122.1736,628,"NON OPERATIONAL","ENV","05 - Cariboo","OFF",1990-09-26 00:00:00,NA,10
"Glendale Met_60","Glendale","M111068",54,"4100 N McKenzie","Williams Lake",52.1522,-122.1736,628,"NON OPERATIONAL","ENV","05 - Cariboo","OFF",1990-09-26 00:00:00,NA,10
"Gold River Annex","Gold River Annex","E225265",291,"390 Nimpkish","Gold River",49.7111,-126.05,100,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1997-01-01 00:00:00,NA,10
"Gold River Pumphouse","Gold River Pumphouse","0110203",292,"At the pumphouse","Gold River",49.6914,-126.1178,3,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1977-01-02 00:00:00,NA,10
"Golden Bear","Golden Bear","M120001",380,"Bearskin Lake","Telegraph Creek",58.2056,-132.2875,980,"NON OPERATIONAL","INDUSTRY","06 - Skeena","OFF",1993-01-10 00:00:00,NA,10
"Golden CPR","Golden CPR","E256894",356,"CPR Yard","Golden",51.27,-116.9308,857,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",2004-08-09 00:00:00,NA,10
"Golden Golf Course","Golden Golf Course","E256895",357,"576 Golf Course Road","Golden",51.3325,-117.0067,795,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",2010-12-06 00:00:00,NA,10
"Golden Helipad","Golden Helipad","E292149",433,"835 9th Avenue South","Golden",51.2975,-116.966,780,"OPERATIONAL","ENV","04 - Kootenay","ON",2013-01-22 11:41:40,NA,103202
"Golden Hospital","Golden Hospital","E235070",17,"835 9th Avenue South","Golden",51.2958,-116.9716,773,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",1999-11-02 00:00:00,NA,10
"Golden Lady Grey School Met_15","Golden Lady Grey School","E243003",18,"670 9th Street S","Golden",51.2956,-116.9716,773,"OPERATIONAL","ENV","04 - Kootenay","ON",2000-11-22 00:00:00,NA,10
"Golden Lady Grey School Met_60","Golden Lady Grey School","E243003",19,"670 9th Street S","Golden",51.2956,-116.9717,773,"OPERATIONAL","ENV","04 - Kootenay","ON",2000-11-22 00:00:00,NA,10
"Golden Townsite","Golden Townsite","E256315",358,"835 9th Avenue South","Golden",51.2978,-116.9672,855,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",2004-12-07 00:00:00,NA,10
"Goldstream Provincial Park","Goldstream Provincial Park","E282349",270,"2955 Sooke Lake Road","Victoria",48.4583,-123.5575,0,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",2010-07-01 00:00:00,NA,10
"Grand Forks Airport Met_15","Grand Forks Airport","E262779",55,"Cameron Avenue","Grand Forks",49.0147,-118.4269,520,"OPERATIONAL","ENV","04 - Kootenay","ON",2006-04-13 00:00:00,NA,10
"Grand Forks Airport Met_60","Grand Forks Airport","E262779",56,"Cameron Avenue","Grand Forks",49.0147,-118.4269,520,"OPERATIONAL","ENV","04 - Kootenay","ON",2006-04-13 00:00:00,NA,10
"Grand Forks City Hall","Grand Forks City Hall","E263701",57,"2217 4th Street","Grand Forks",49.031168,-118.439088,517,"OPERATIONAL","ENV","04 - Kootenay","ON",2006-07-27 00:00:00,NA,104101
"Grand Forks Mobile","Grand Forks Mobile","E223885",342,"625 69th Avenue","Grand Forks",49.0278,-118.4375,525,"NON OPERATIONAL","ENV","03 - Southern Interior","OFF",1996-10-29 00:00:00,NA,10
"Groundbirch MAML","Groundbirch MAML","E282369",268,"RR269 south of 208","Groundbirch",55.7283,-120.8919,0,"MOBILE NON OPERATIONAL","ENV","07 - Omineca-Peace","OFF",2010-06-22 00:00:00,NA,10
"Harmac Cedar","Harmac Cedar","E221800",293,"Holden Corso Road","Nanaimo",49.12,-123.8514,31,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1995-04-21 00:00:00,NA,10
"Harmac Cedar Woobank","Harmac Cedar Woobank","E225377",453,"1624 Woobank","Nanaimo",49.114165,-123.850165,25,"OPERATIONAL","INDUSTRY","01 - Vancouver Island","ON",1997-02-21 00:00:00,NA,102103
"Harmac Cedar Woobank_1","Harmac Cedar Woobank","E225377",51,"1624 Woobank","Nanaimo",49.1216,-123.86,47,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1997-02-21 00:00:00,NA,102103
"Harmac Cedar Woobank_60","Harmac Cedar Woobank","E225377",58,"1624 Woobank","Nanaimo",49.1216,-123.86,47,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1997-02-21 00:00:00,NA,102103
"Harmac Nanaimo Duke Point_1","Harmac Nanaimo Duke Point","E299790",467,"750 Jackson Road","Nanaimo",49.14522,-123.87873,10,"OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",2014-10-03 00:00:00,NA,10
"Harmac Nanaimo Duke Point_60","Harmac Nanaimo Duke Point","E299790",468,"750 Jackson Road","Nanaimo",49.14522,-123.87873,10,"OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",2014-10-03 00:00:00,NA,10
"Harmac Nanaimo Dukepoint","Harmac Nanaimo Dukepoint","E299790",559,"750 Jackson Road","Nanaimo",49.14522,-123.87873,10,"OPERATIONAL","INDUSTRY","01 - Vancouver Island","ON",2014-10-03 00:00:00,NA,10
"Harmac Pacific","Harmac Pacific","E221801",294,"333 Haliburton Road","Nanaimo",49.1578,-123.845,32,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1995-04-21 00:00:00,NA,10
"Harmac Pacific Met_15","Harmac Pacific","M102038",59,"333 Haliburton Street","Nanaimo",49.1352,-123.8475,23,"OPERATIONAL","INDUSTRY","01 - Vancouver Island","ON",1995-02-25 00:00:00,NA,10
"Harmac Pacific Met_60","Harmac Pacific","M102038",60,"333 Haliburton Street","Nanaimo",49.1352,-123.8475,23,"OPERATIONAL","INDUSTRY","01 - Vancouver Island","ON",1995-02-25 00:00:00,NA,10
"Harmac Treatment Pond_1","Harmac Treatment Pond","E226983",34,"Harmac Mill","Nanaimo",49.1361,-123.8613,86,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1997-01-07 00:00:00,NA,10
"Harmac Treatment Pond_60","Harmac Treatment Pond","E226983",61,"Harmac Mill","Nanaimo",49.1361,-123.8613,86,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1997-01-07 00:00:00,NA,10
"Hazelton NWCC","Hazelton NWCC","E255713",234,"4815 Swannell Drive","New Hazelton",55.2619,-127.6506,286,"NON OPERATIONAL","ENV","06 - Skeena","OFF",2010-03-15 00:00:00,NA,10
"Hope Airport","Hope Airport","E223756",257,"62715 Airport Road","Hope",49.3697,-121.4994,131,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",1996-08-15 00:00:00,NA,10
"Hope Firehall","Hope Firehall","E214615",320,"3rd Avenue","Hope",49.3796,-121.4416,0,"NON OPERATIONAL","ENV","02 - Lower Mainland","OFF",1991-05-23 00:00:00,NA,10
"Hope Othello Compressor Station_15","Hope Othello Compressor Station","E254955",63,"67301 Othello Road","Hope",49.3828,-121.3653,228,"OPERATIONAL","INDUSTRY","02 - Lower Mainland","ON",2004-02-23 00:00:00,NA,10
"Hope Othello Compressor Station_60","Hope Othello Compressor Station","E254955",64,"67301 Othello Road","Hope",49.3828,-121.3653,228,"OPERATIONAL","INDUSTRY","02 - Lower Mainland","ON",2004-02-23 00:00:00,NA,10
"Horseshoe Bay","Horseshoe Bay","E275843",269,"6350 Marine Drive","West Vancouver",49.3686,-123.2766,65,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",2010-06-21 00:00:00,NA,10
"Horseshoe Bay","Horseshoe Bay","E207302",321,"Isleview Road","Vancouver",49.3786,-123.2794,0,"NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",1987-12-17 00:00:00,NA,10
"Horseshoe Bay Met","Horseshoe Bay","M104271",322,"Horseshoe Bay Water Tower","Vancouver",49.3738,-123.2797,0,"NON OPERATIONAL","ENV","02 - Lower Mainland","OFF",1985-04-24 00:00:00,NA,10
"Houston Firehall","Houston Firehall","M107004",437,"3382 11th Street","Houston",54.3972,-126.645,594,"OPERATIONAL","ENV","06 - Skeena","ON",2013-02-19 12:52:54,NA,105101
"Houston Firehall_1","Houston Firehall","M107004",1,"3382 11th Street","Houston",54.398289,-126.641604,602,"NON OPERATIONAL","ENV","06 - Skeena","OFF",1994-11-21 00:00:00,NA,105101
"Houston Firehall_15","Houston Firehall","M107004",2,"3382 11th Street","Houston",54.3972,-126.645,594,"OPERATIONAL","ENV","06 - Skeena","ON",1994-11-21 00:00:00,NA,105101
"Houston Firehall_60","Houston Firehall","M107004",3,"3382 11th Street","Houston",54.398289,-126.641604,602,"OPERATIONAL","ENV","06 - Skeena","ON",1994-11-21 00:00:00,NA,105101
"Kamloops Aberdeen","Kamloops Aberdeen","E303935",479,"2330 Pacific Way","Kamloops",50.63694,-120.37207,857,"OPERATIONAL","ENV","03 - Southern Interior","OFF",2015-10-16 00:00:00,NA,10
"Kamloops Aberdeen_15","Kamloops Aberdeen","E303935",480,"2330 Pacific Way","Kamloops",50.63694,-120.37207,857,"OPERATIONAL","ENV","03 - Southern Interior","OFF",2015-10-16 00:00:00,NA,10
"Kamloops Aberdeen_60","Kamloops Aberdeen","E303935",481,"2330 Pacific Way","Kamloops",50.63694,-120.37207,857,"OPERATIONAL","ENV","03 - Southern Interior","OFF",2015-10-16 00:00:00,NA,10
"Kamloops Blackwell Dairy Biosolids","Kamloops Blackwell Dairy Biosolids","E306334",514,"7530 Dallas Drive","Kamloops",50.65919,-120.12198,349,"E-BAM NON-OPERATIONAL","ENV","03 - Southern Interior","OFF",2016-07-15 00:00:00,NA,10
"Kamloops Brocklehurst","Kamloops Brocklehurst","E206898",5,"705 Mayfair St","Kamloops",50.6975,-120.3969,347,"NON OPERATIONAL","MVRD","03 - Southern Interior","OFF",1987-03-02 00:00:00,NA,10
"Kamloops Brocklehurst BAM","Kamloops Brocklehurst BAM","E206898",416,"705 Mayfair Street","Kamloops",50.6975,-120.3969,347,"NON OPERATIONAL","ENV","03 - Southern Interior","OFF",2011-06-06 00:00:00,NA,10
"Kamloops Brocklehurst_15","Kamloops Brocklehurst","M116003",65,"Mayfair Street","Kamloops",50.6975,-120.3975,347,"NON OPERATIONAL","ENV","03 - Southern Interior","OFF",1996-01-11 00:00:00,NA,10
"Kamloops Brocklehurst_60","Kamloops Brocklehurst","M116003",66,"Mayfair Street","Kamloops",50.6975,-120.3975,347,"NON OPERATIONAL","ENV","03 - Southern Interior","OFF",1996-01-11 00:00:00,NA,10
"Kamloops Dalhousie","Kamloops Dalhousie","E266222",219,"on roof of MOE building","Kamloops",50.6772,-120.3375,536,"NON OPERATIONAL","ENV","03 - Southern Interior","OFF",2010-02-16 00:00:00,NA,10
"Kamloops Federal Building","Kamloops Federal Building","0605008",267,"317 Seymour Street","Kamloops",50.67477,-120.334016,381,"OPERATIONAL","ENV","03 - Southern Interior","ON",1978-03-03 00:00:00,NA,100401
"Kamloops Fire Station #2","Kamloops Fire Station #2","E286009",415,"1578 Tranquille Road","Kamloops",50.7025,-120.3944,348,"NON OPERATIONAL","ENV","03 - Southern Interior","OFF",2011-06-03 00:00:00,NA,100402
"Kamloops Wildlife Park","Kamloops Wildlife Park","E261178",220,"fenced enclosure near grizzly habitat","Kamloops",50.755,-120.145,364,"NON OPERATIONAL","ENV","03 - Southern Interior","OFF",2010-02-16 00:00:00,NA,10
"Kelly Lake MAML","Kelly Lake MAML","E284909",412,"Community Hall","Kelly Lake",55.2606,-120.0356,867,"MOBILE NON OPERATIONAL","ENV","07 - Omineca-Peace","OFF",2011-04-02 00:00:00,NA,10
"Kelowna College","Kelowna College","0500886",9,"3333 College Way","Kelowna",49.862336,-119.477367,347,"OPERATIONAL","ENV","03 - Southern Interior","ON",1983-08-11 00:00:00,NA,100701
"Kelowna College_15","Kelowna College","0500886",67,"3333 College Way","Kelowna",49.862336,-119.477367,347,"OPERATIONAL","ENV","03 - Southern Interior","ON",1994-10-28 00:00:00,NA,100701
"Kelowna College_60","Kelowna College","0500886",102,"3333 College Way","Kelowna",49.862336,-119.477367,347,"OPERATIONAL","ENV","03 - Southern Interior","ON",1994-10-28 00:00:00,NA,100701
"Kelowna Johnson Bentley Pool","Kelowna Johnson Bentley Pool","E304350",482,"3737 Old Okanagan Highway","Kelowna",49.82698,-119.6239,400,"E-BAM NON-OPERATIONAL","ENV","03 - Southern Interior","OFF",2015-10-09 00:00:00,NA,10
"Keremeos Municipal Office","Keremeos Municipal Office","E272963",68,"702 4th Street","Keremeos",49.3494,-119.8361,423,"NON OPERATIONAL","ENV","03 - Southern Interior","OFF",2008-01-08 00:00:00,NA,10
"Keremeos Municipal Office_15","Keremeos Municipal Office","E272963",69,"702 4th Street","Keremeos",49.3494,-119.8361,423,"NON OPERATIONAL","ENV","03 - Southern Interior","OFF",2008-01-08 00:00:00,NA,10
"Keremeos Municipal Office_60","Keremeos Municipal Office","E272963",70,"702 4th Street","Keremeos",49.3494,-119.8361,423,"NON OPERATIONAL","ENV","03 - Southern Interior","OFF",2008-01-08 00:00:00,NA,10
"Kimberely Lois Creek","Kimberely Lois Creek","0440401",359,"Lot 3700","Kimberely",49.7522,-115.985,0,"NON OPERATIONAL","INDUSTRY","04 - Kootenay","OFF",1991-01-06 00:00:00,NA,10
"Kimberely Mine Shaft 24","Kimberely Mine Shaft 24","0440402",360,NA,"Kimberely",49.7147,-115.9967,1500,"NON OPERATIONAL","INDUSTRY","04 - Kootenay","OFF",1991-01-06 00:00:00,NA,10
"Kitimat Alcan Dock","Kitimat Alcan Dock","E206671",381,"Highway 37","Kitimat",53.9883,-128.695,0,"NON OPERATIONAL","INDUSTRY","06 - Skeena","OFF",1987-01-23 00:00:00,NA,10
"Kitimat City Centre MAML","Kitimat City Centre MAML","E283510",282,"300M E of Hwy 16 & Tsimshian Road","Kitimat",54.0553,-128.6544,30,"MOBILE NON OPERATIONAL","ENV","06 - Skeena","OFF",2010-09-15 00:00:00,NA,10
"Kitimat Eurocan Dock_15","Kitimat Eurocan Dock","M106008",71,NA,"Kitimat",53.995,-128.6783,10,"NON OPERATIONAL","INDUSTRY","06 - Skeena","OFF",1996-07-10 00:00:00,NA,10
"Kitimat Eurocan Dock_60","Kitimat Eurocan Dock","M106008",72,NA,"Kitimat",53.995,-128.6783,10,"NON OPERATIONAL","INDUSTRY","06 - Skeena","OFF",1996-07-10 00:00:00,NA,10
"Kitimat Haisla Village","Kitimat Haisla Village","E282711",271,"347 Haisla Avenue","Kitimat",53.973228,-128.650768,5,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",2010-01-07 00:00:00,NA,103905
"Kitimat Haul Road","Kitimat Haul Road","E223616",73,"Haulage Road","Kitimat",54.029194,-128.70269,11,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",1996-01-11 00:00:00,NA,103902
"Kitimat Haul Road Met_15","Kitimat Haul Road","M106009",74,"Haulage Road","Kitimat",54.0297,-128.7016,2,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",1996-10-04 00:00:00,NA,10
"Kitimat Haul Road Met_60","Kitimat Haul Road","E223616",75,"Haulage Road","Kitimat",54.029194,-128.70269,11,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",1996-10-04 00:00:00,NA,103902
"Kitimat Kildala School","Kitimat Kildala School","0660601",382,"803 Columbia Street","Kitimat",54.0542,-128.6722,0,"NON OPERATIONAL","INDUSTRY","06 - Skeena","OFF",1988-01-05 00:00:00,NA,10
"Kitimat Minette","Kitimat Minette","E207182",383,"Substation Road","Kitimat",54.0325,-128.7122,110,"NON OPERATIONAL","INDUSTRY","06 - Skeena","OFF",1987-01-06 00:00:00,NA,10
"Kitimat Rail","Kitimat Rail","E223827",76,"CN Rail Yard","Kitimat",54.0611,-128.6872,75,"NON OPERATIONAL","INDUSTRY","06 - Skeena","OFF",1996-09-10 00:00:00,NA,103903
"Kitimat Rio Tinto Alcan KMP Camp_1","Kitimat Rio Tinto Alcan KMP Camp","E277529",278,"#1 Smeltersite Road","Kitimat",54.0194,-128.7042,17,"NON OPERATIONAL","INDUSTRY","06 - Skeena","OFF",2010-08-18 00:00:00,NA,10
"Kitimat Rio Tinto Alcan KMP Camp_60","Kitimat Rio Tinto Alcan KMP Camp","E277529",279,"#1 Smeltersite Road","Kitimat",54.0194,-128.7042,17,"NON OPERATIONAL","INDUSTRY","06 - Skeena","OFF",2010-08-18 00:00:00,NA,10
"Kitimat Riverlodge","Kitimat Riverlodge","E216670",77,"651 Columbia Street","Kitimat",54.05389,-128.671436,18,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",1995-04-05 00:00:00,NA,103901
"Kitimat Saunders","Kitimat Saunders","0660602",384,"9th Avenue","Kitimat",54.0606,-128.6867,0,"NON OPERATIONAL","INDUSTRY","06 - Skeena","OFF",1987-01-06 00:00:00,NA,10
"Kitimat Smeltersite Road","Kitimat Smeltersite Road","E290529",431,"KMP Campsite","Kitimat",54.018801,-128.700585,2,"NON OPERATIONAL","INDUSTRY","06 - Skeena","OFF",2012-08-14 13:44:22,2016-06-02,103906
"Kitimat Smeltersite Road_1","Kitimat Smeltersite Road","E290529",430,"KMP Campsite","Kitimat",54.0188,-128.7006,2,"NON OPERATIONAL","INDUSTRY","06 - Skeena","OFF",2012-08-14 13:23:40,NA,103906
"Kitimat Whitesail","Kitimat Whitesail","E223615",78,"1332 Lahakas Blvd N","Kitimat",54.066909,-128.639131,94,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",1996-12-07 00:00:00,NA,103904
"Kitimat Whitesail Met_15","Kitimat Whitesail","E223615",79,"1332 Lahakas Blvd N","Kitimat",54.0675,-128.6402,119,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",1996-11-29 00:00:00,NA,103904
"Kitimat Whitesail Met_60","Kitimat Whitesail","E223615",80,"1332 Lahakas Blvd N","Kitimat",54.066909,-128.639131,94,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",1996-11-29 00:00:00,NA,103904
"Kitimat Yacht Club_15","Kitimat Yacht Club","E286269",417,"On Access Road to Plant","Kitimat",54,-128.692,2,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",2011-06-14 00:00:00,NA,10
"Kitimat Yacht Club_60","Kitimat Yacht Club","E286269",418,"On Access Road to Plant","Kitimat",54,-128.692,2,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",2011-06-14 00:00:00,NA,10
"Kitwanga School Met_15","Kitwanga School","E255714",81,"School Road","Kitwanga",55.1172,-128.0158,253,"NON OPERATIONAL","ENV","06 - Skeena","OFF",2004-10-25 00:00:00,NA,10
"Kitwanga School Met_60","Kitwanga School","E255714",82,"School Road","Kitwanga",55.1172,-128.0158,253,"NON OPERATIONAL","ENV","06 - Skeena","OFF",2004-10-25 00:00:00,NA,10
"Kwoen Gas Plant_1","Kwoen Gas Plant","E248774",83,"Kwoen Gas Plant PO Box 906","Chetwynd",55.3778,-121.7047,665,"OPERATIONAL","INDUSTRY","07 - Omineca-Peace","ON",2002-08-09 00:00:00,NA,10
"Kwoen Gas Plant_15","Kwoen Gas Plant","E248774",84,"Kwoen Gas Plant PO Box 906","Chetwynd",55.3778,-121.7047,665,"OPERATIONAL","INDUSTRY","07 - Omineca-Peace","ON",2002-08-09 00:00:00,NA,10
"Kwoen Gas Plant_60","Kwoen Gas Plant","E248774",85,"Kwoen Gas Plant PO Box 906","Chetwynd",55.3778,-121.7047,665,"OPERATIONAL","INDUSTRY","07 - Omineca-Peace","ON",2002-08-09 00:00:00,NA,10
"Ladysmith Health Centre","Ladysmith Health Centre","E306482",519,"1111 4th Avenue","Ladysmith",48.995639,-123.827861,121,"E-BAM OPERATIONAL","ENV","01 - Vancouver Island","OFF",2016-08-26 00:00:00,NA,10
"Lake Cowichan Fire Hall","Lake Cowichan Fire Hall","E303794",478,"Lake Cowichan","Duncan",48.828333,-124.054167,178,"E-BAM NON-OPERATIONAL","ENV","01 - Vancouver Island","OFF",2015-09-17 09:40:59,2016-06-02,10
"Langdale Elementary","Langdale Elementary","E222778",86,"1551 Johnson Road","Langdale",49.438848,-123.479185,90,"OPERATIONAL","INDUSTRY","02 - Lower Mainland","ON",1995-01-12 00:00:00,NA,105301
"Langdale Ferry Terminal_15","Langdale Ferry Terminal","M104273",87,"Ferry Terminal","Langdale",49.4344,-123.4691,15,"NON OPERATIONAL","ENV","02 - Lower Mainland","OFF",1987-11-09 00:00:00,NA,10
"Langdale Ferry Terminal_60","Langdale Ferry Terminal","M104273",88,"Ferry Terminal","Langdale",49.4344,-123.4691,15,"NON OPERATIONAL","ENV","02 - Lower Mainland","OFF",1987-11-09 00:00:00,NA,10
"Langdale YMCA","Langdale YMCA","E206987",323,"Camp Elphinstone","Gibsons",49.45,-123.4678,0,"NON OPERATIONAL","INDUSTRY","02 - Lower Mainland","OFF",1987-01-07 00:00:00,NA,10
